Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,0,2,2,3,-0.4800881507874439,0,0.6227671068701132,-0.12058699741177976,-0.6978298687704685,2,2,0,0,-1.429785022834165,2,0,2,1,2
EMP0002,0,0,0,4,-1.4781509148875729,2,1.0443875383092454,-0.7677444074928874,-1.4068624523616782,2,0,0,1,0.004446116532035369,1,1,2,1,1
EMP0003,1,2,6,1,0.41816833690267224,0,0.5384430205822868,0.7422895493630305,1.4292678820031606,2,0,0,2,0.7215616862151356,2,4,1,2,3
EMP0004,2,1,6,2,0.21855578408264642,1,-0.6420941874472835,0.0951321392819228,0.7202352984119508,0,2,1,1,0.004446116532035369,2,2,1,2,2
EMP0005,1,1,5,0,1.4162311010028013,1,-0.3891219285838042,0.9580086860567331,-0.6978298687704685,0,3,1,0,0.004446116532035369,2,2,2,0,3
EMP0006,1,2,5,4,1.3164248245927883,0,-0.05182558343249838,-0.98346354418659,0.7202352984119508,0,3,0,1,1.4386772558982357,2,0,1,0,5
EMP0007,0,3,5,4,0.6177808897226981,2,0.960063452021419,-0.12058699741177976,0.011202714820741139,1,0,1,0,1.4386772558982357,0,2,0,2,1
EMP0008,0,2,0,5,-1.178732085657534,1,1.2130357108848984,-0.12058699741177976,0.011202714820741139,2,2,0,0,1.4386772558982357,1,3,1,0,3
EMP0009,1,3,0,3,-0.8793132564274955,0,-1.316686877749895,-0.7677444074928874,-0.6978298687704685,0,3,1,0,-0.7126694531510648,2,3,0,2,2
EMP0010,2,0,2,4,1.0170059953627497,0,1.4660079697483777,-0.3363061341054823,-1.4068624523616782,1,2,1,0,-0.7126694531510648,0,0,2,2,3
EMP0011,0,2,6,2,-0.08086304514739227,2,0.7070911931579397,-0.98346354418659,0.011202714820741139,0,3,1,0,0.7215616862151356,1,1,2,0,4
EMP0012,1,0,3,0,1.3164248245927883,0,-1.1480387051742422,0.9580086860567331,0.7202352984119508,2,3,1,2,0.7215616862151356,0,2,2,2,0
EMP0013,0,0,3,0,-1.6777634677075988,2,-1.5696591366133743,-0.12058699741177976,-0.6978298687704685,0,2,1,0,-0.7126694531510648,0,0,2,1,2
EMP0014,1,2,1,5,-1.278538362067547,0,0.4541189342944603,1.1737278227504355,-1.4068624523616782,1,0,0,0,-0.7126694531510648,1,4,2,2,3
EMP0015,0,3,4,6,0.5179746133126851,2,1.6346561423240304,0.7422895493630305,0.011202714820741139,0,0,1,0,1.4386772558982357,0,2,2,0,4
EMP0016,1,0,5,3,-0.4800881507874439,2,0.36979484800663387,0.7422895493630305,0.7202352984119508,1,0,0,2,1.4386772558982357,1,3,2,0,0
EMP0017,0,3,2,1,-1.4781509148875729,1,1.0443875383092454,0.31085127597562534,-0.6978298687704685,2,3,0,2,-1.429785022834165,1,0,2,1,0
EMP0018,0,2,0,0,0.21855578408264642,1,-0.22047375600815128,0.0951321392819228,0.011202714820741139,1,1,1,0,1.4386772558982357,0,4,2,1,2
EMP0019,1,2,6,4,1.2166185481827754,2,-0.30479784229597773,-0.3363061341054823,-1.4068624523616782,0,0,0,2,0.004446116532035369,1,1,2,1,4
EMP0020,1,1,6,0,-0.4800881507874439,2,1.6346561423240304,-0.7677444074928874,0.011202714820741139,2,0,0,0,0.7215616862151356,0,0,0,0,5
EMP0021,2,0,5,6,1.5160373774128142,0,-1.5696591366133743,-1.4149018175739951,-0.6978298687704685,1,1,0,1,-0.7126694531510648,1,0,2,2,5
EMP0022,2,2,5,1,0.3183620604926593,1,1.2130357108848984,0.9580086860567331,0.011202714820741139,2,2,0,0,0.004446116532035369,2,3,0,2,3
EMP0023,0,3,5,2,0.3183620604926593,1,1.4660079697483777,-1.4149018175739951,0.011202714820741139,1,2,1,1,0.004446116532035369,1,3,0,0,0
EMP0024,1,2,3,0,-0.6797007036074697,1,-1.485335050325548,0.9580086860567331,1.4292678820031606,1,2,0,2,-0.7126694531510648,0,2,2,2,1
EMP0025,1,1,5,2,-1.178732085657534,2,1.2130357108848984,1.6051660961378407,0.011202714820741139,1,1,0,1,-0.7126694531510648,0,3,0,0,3
EMP0026,1,1,4,3,0.5179746133126851,1,-1.5696591366133743,1.389446959444138,0.7202352984119508,0,1,0,2,0.7215616862151356,0,2,1,1,5
EMP0027,0,2,4,6,1.2166185481827754,1,-1.316686877749895,0.9580086860567331,0.011202714820741139,0,3,0,0,0.7215616862151356,2,3,1,2,3
EMP0028,1,0,4,6,1.3164248245927883,1,1.3816838834605512,-0.7677444074928874,0.7202352984119508,1,2,0,2,0.7215616862151356,2,3,1,2,4
EMP0029,1,3,5,4,0.41816833690267224,1,-0.557770101159457,0.5265704126693279,0.011202714820741139,0,2,1,0,0.7215616862151356,1,0,0,2,2
EMP0030,1,1,6,3,1.6158436538228271,2,-1.2323627914620685,1.6051660961378407,-0.6978298687704685,0,2,1,2,0.004446116532035369,1,0,2,2,3
EMP0031,2,0,0,4,0.41816833690267224,1,-1.6539832229012008,0.7422895493630305,-1.4068624523616782,1,0,1,2,1.4386772558982357,0,1,2,0,1
EMP0032,0,3,3,5,-1.37834463847756,0,-0.557770101159457,1.389446959444138,-0.6978298687704685,2,2,0,0,0.004446116532035369,1,4,1,0,3
EMP0033,0,3,4,5,1.1168122717727624,2,-1.6539832229012008,1.389446959444138,-0.6978298687704685,2,0,1,0,1.4386772558982357,1,4,0,1,3
EMP0034,1,1,6,3,0.9171997189527368,2,-1.1480387051742422,0.31085127597562534,0.011202714820741139,2,0,1,2,1.4386772558982357,0,3,0,0,3
EMP0035,0,1,1,4,0.6177808897226981,0,-1.485335050325548,-0.3363061341054823,0.7202352984119508,2,2,0,2,-1.429785022834165,2,2,2,0,2
EMP0036,1,3,5,3,1.0170059953627497,0,1.4660079697483777,0.0951321392819228,0.7202352984119508,1,3,1,2,-1.429785022834165,0,4,1,2,2
EMP0037,1,1,5,2,-0.7795069800174825,1,-0.8107423600229364,0.9580086860567331,-1.4068624523616782,1,2,1,0,1.4386772558982357,1,2,1,2,1
EMP0038,0,0,1,3,0.01894323126262062,2,0.6227671068701132,1.389446959444138,-0.6978298687704685,1,3,1,1,-0.7126694531510648,1,4,0,1,1
EMP0039,2,2,5,4,0.3183620604926593,1,0.7070911931579397,0.9580086860567331,0.7202352984119508,1,0,1,2,0.004446116532035369,0,0,2,0,0
EMP0040,1,1,3,0,0.21855578408264642,0,-1.6539832229012008,-1.4149018175739951,0.011202714820741139,0,3,0,1,-1.429785022834165,2,4,2,2,1
EMP0041,2,2,0,4,0.41816833690267224,2,0.36979484800663387,1.6051660961378407,0.7202352984119508,0,1,0,0,-1.429785022834165,0,4,0,2,2
EMP0042,1,1,4,4,-0.380281874377431,1,-0.8950664463107628,1.1737278227504355,-0.6978298687704685,1,3,0,2,-1.429785022834165,2,4,1,1,3
EMP0043,1,3,4,2,0.8173934425427238,2,1.5503320560362042,-0.3363061341054823,0.011202714820741139,0,3,1,1,0.004446116532035369,2,2,2,2,2
EMP0044,1,0,1,5,-0.5798944271974568,2,1.1287116245970719,0.9580086860567331,0.7202352984119508,2,2,1,2,-1.429785022834165,2,2,1,0,2
EMP0045,1,3,2,6,-0.4800881507874439,2,-1.4010109640377215,-0.3363061341054823,0.011202714820741139,0,0,1,2,1.4386772558982357,0,1,0,1,5
EMP0046,0,1,3,6,0.6177808897226981,2,0.20114667543098094,0.0951321392819228,-0.6978298687704685,2,1,0,2,-0.7126694531510648,0,2,0,2,3
EMP0047,0,1,0,1,1.5160373774128142,2,-0.3891219285838042,1.6051660961378407,-1.4068624523616782,2,1,1,0,-1.429785022834165,2,4,2,1,5
EMP0048,2,0,5,0,-1.37834463847756,2,-0.05182558343249838,-1.1991826808802926,1.4292678820031606,0,3,0,0,-1.429785022834165,2,3,1,1,4
EMP0049,2,0,2,3,-1.0789258092475214,1,-0.8950664463107628,0.31085127597562534,0.7202352984119508,1,3,0,1,-0.7126694531510648,0,2,0,2,0
EMP0050,0,1,4,6,-0.6797007036074697,1,-0.22047375600815128,-0.98346354418659,0.7202352984119508,2,1,0,2,-1.429785022834165,1,2,1,0,2
EMP0051,2,2,2,5,1.6158436538228271,1,-0.9793905325985893,0.5265704126693279,0.7202352984119508,0,0,1,0,1.4386772558982357,1,3,0,1,2
EMP0052,1,1,5,0,0.7175871661327109,2,-0.7264182737351099,0.31085127597562534,1.4292678820031606,1,3,0,0,0.7215616862151356,1,0,1,1,5
EMP0053,0,0,6,6,-1.4781509148875729,1,-1.1480387051742422,1.389446959444138,0.011202714820741139,2,3,0,0,-0.7126694531510648,1,1,0,1,5
EMP0054,1,3,4,3,1.6158436538228271,1,0.5384430205822868,1.6051660961378407,-0.6978298687704685,2,2,1,2,-1.429785022834165,0,0,1,0,1
EMP0055,2,0,6,1,-1.278538362067547,0,1.2973597971727246,-0.3363061341054823,-1.4068624523616782,2,1,1,0,0.7215616862151356,1,0,0,2,1
EMP0056,2,2,4,1,-0.9791195328375084,0,0.6227671068701132,0.9580086860567331,0.011202714820741139,1,0,0,1,0.004446116532035369,0,4,0,1,0
EMP0057,0,1,6,4,-0.380281874377431,2,0.7070911931579397,1.1737278227504355,1.4292678820031606,1,2,1,1,0.7215616862151356,0,4,1,1,1
EMP0058,1,3,2,4,-1.0789258092475214,1,0.7914152794457661,-0.3363061341054823,1.4292678820031606,1,3,0,2,0.7215616862151356,1,2,1,0,5
EMP0059,2,3,1,5,1.3164248245927883,2,0.960063452021419,-0.7677444074928874,-1.4068624523616782,1,3,0,0,-0.7126694531510648,2,2,0,0,4
EMP0060,2,3,0,4,-0.08086304514739227,2,1.4660079697483777,1.1737278227504355,-0.6978298687704685,2,3,1,2,-1.429785022834165,1,4,0,2,4
EMP0061,2,2,5,0,-1.37834463847756,0,-0.557770101159457,1.389446959444138,0.7202352984119508,2,2,1,2,-1.429785022834165,2,1,0,1,2
EMP0062,0,0,5,4,-0.380281874377431,2,-0.8107423600229364,1.6051660961378407,-0.6978298687704685,2,2,1,1,1.4386772558982357,2,4,0,1,3
EMP0063,2,2,4,2,0.21855578408264642,0,-0.9793905325985893,-0.7677444074928874,0.011202714820741139,2,2,0,2,0.004446116532035369,1,1,1,2,1
EMP0064,2,0,6,3,-1.278538362067547,1,-0.7264182737351099,1.6051660961378407,0.011202714820741139,2,2,1,2,-0.7126694531510648,1,4,1,1,5
EMP0065,1,3,0,3,0.01894323126262062,0,-0.22047375600815128,-1.6306209542676977,0.7202352984119508,2,1,0,2,-0.7126694531510648,2,1,1,1,4
EMP0066,1,1,2,2,-0.8793132564274955,2,-0.7264182737351099,-0.98346354418659,0.7202352984119508,2,0,1,1,0.7215616862151356,1,3,2,2,2
EMP0067,0,2,6,4,-1.178732085657534,0,0.5384430205822868,-0.98346354418659,-1.4068624523616782,2,1,0,1,0.004446116532035369,1,1,0,1,4
EMP0068,1,0,3,1,1.4162311010028013,2,-1.6539832229012008,-0.3363061341054823,-0.6978298687704685,0,3,1,0,0.004446116532035369,2,3,2,2,4
EMP0069,0,0,1,5,0.5179746133126851,1,0.960063452021419,0.0951321392819228,-0.6978298687704685,0,0,1,0,0.004446116532035369,0,0,0,0,5
EMP0070,2,0,3,2,-1.178732085657534,2,-0.9793905325985893,1.1737278227504355,-0.6978298687704685,1,3,0,2,1.4386772558982357,0,0,0,1,3
EMP0071,0,3,3,0,0.5179746133126851,1,-0.05182558343249838,-0.7677444074928874,0.7202352984119508,2,0,0,1,0.7215616862151356,1,0,2,0,3
EMP0072,1,3,1,0,0.7175871661327109,2,-0.8950664463107628,1.1737278227504355,-1.4068624523616782,2,2,1,2,-0.7126694531510648,0,1,2,0,4
EMP0073,2,3,1,6,-0.28047559796741806,1,-0.8107423600229364,1.389446959444138,1.4292678820031606,0,1,1,2,-0.7126694531510648,2,0,2,1,0
